species,selected_developed_low_intensity,probability_developed_low_intensity,selected_developed_high_intensity,probability_developed_high_intensity,selected_barren_land,probability_barren_land,selected_deciduous_forest,probability_deciduous_forest,selected_evergreen_forest,probability_evergreen_forest,selected_mixed_forest,probability_mixed_forest,selected_shrub_scrub,probability_shrub_scrub,selected_grassland_herbaceous,probability_grassland_herbaceous,selected_pasture_hay,probability_pasture_hay,selected_cultivated_crops,probability_cultivated_crops,selected_woody_wetlands,probability_woody_wetlands,selected_emergent_wetlands,probability_emergent_wetlands,selected_ocean,probability_ocean,selected_lake,probability_lake,selected_river,probability_river,selected_elevation,probability_elevation,selected_aspect,probability_aspect,selected_slope,probability_slope,selected_precipitation,probability_precipitation,selected_temperature_max,probability_temperature_max
Abert's Towhee,25,0.055866667,2,0.130633333,5,0.091133333,2,0.386433333,9,0.052033333,22,0.037433333,1,0.053966667,13,0.052066667,1,0.162466667,30,0.0723,1,0.2325,21,0.131933333,11,0.034233333,5,0.055666667,11,0.048766667,1,0.0549,22,0.089833333,1,0.3639,2,0.041066667,23,0.042466667
Acadian Flycatcher,2,0.377133333,12,0.099566667,2,0.181666667,1,0.838333333,11,0.092866667,2,0.330433333,22,0.039366667,3,0.083433333,1,0.5744,2,0.179533333,1,0.884233333,3,0.061533333,2,0.065766667,31,0.069133333,19,0.082133333,31,0.088333333,31,0.075333333,1,0.9007,1,0.040066667,22,0.0416
Acorn Woodpecker,8,0.154433333,6,0.097033333,12,0.090733333,1,0.106266667,21,0.060633333,5,0.1936,31,0.071166667,31,0.107666667,28,0.066233333,10,0.074833333,21,0.098733333,2,0.2085,22,0.1052,10,0.064266667,4,0.075533333,17,0.0495,24,0.058633333,1,0.729133333,1,0.0672,4,0.133433333
Alder Flycatcher,25,0.0814,29,0.061733333,22,0.080133333,2,0.077433333,1,0.5275,4,0.1704,2,0.282866667,24,0.0582,1,0.255066667,31,0.077766667,1,1,1,0.966433333,3,0.143466667,2,0.6815,20,0.045966667,1,0.0977,3,0.092533333,2,0.106766667,1,0.069333333,31,0.0776
Allen's Hummingbird,2,0.161,1,0.0932,3,0.246033333,2,0.0768,24,0.069466667,23,0.056166667,3,0.045,30,0.1207,1,0.332033333,31,0.062133333,16,0.100533333,31,0.080166667,5,0.0865,9,0.1042,9,0.0466,28,0.068666667,3,0.115666667,5,0.133733333,23,0.0347,1,0.0403
American Avocet,1,0.177633333,2,0.057433333,7,0.143433333,4,0.052166667,9,0.0638,12,0.054633333,2,0.048566667,12,0.051066667,9,0.102133333,3,0.3478,1,0.074433333,2,0.205133333,19,0.036533333,1,0.5045,1,0.0431,26,0.037066667,2,0.0572,8,0.0831,16,0.0352,11,0.036466667
American Bittern,30,0.043433333,31,0.040033333,9,0.0381,30,0.0381,5,0.050266667,9,0.050833333,19,0.041033333,3,0.053166667,11,0.054266667,6,0.038933333,2,0.127333333,2,0.922666667,29,0.038,31,0.047033333,31,0.083466667,2,0.040266667,2,0.042466667,8,0.038533333,1,0.040433333,26,0.0351
American Coot,2,0.211666667,31,0.081233333,2,0.3022,5,0.124133333,5,0.078933333,6,0.064766667,2,0.063833333,2,0.313766667,1,0.129533333,4,0.246633333,31,0.062733333,2,0.9997,25,0.047366667,1,1,1,0.055033333,31,0.035966667,2,0.5742,31,0.0461,6,0.038766667,4,0.0372
American Crow,2,0.118466667,31,0.1572,31,0.172233333,2,0.882666667,2,0.925533333,31,0.1866,3,0.387033333,1,0.275966667,1,0.187566667,1,0.5299,4,0.109866667,31,0.270133333,2,0.8174,31,0.193733333,7,0.237966667,2,0.396166667,5,0.123366667,31,0.239733333,1,0.047966667,1,0.5418
American Dipper,10,0.0437,31,0.0373,31,0.0459,2,0.092933333,2,0.089833333,12,0.0724,2,0.044,22,0.037366667,15,0.042966667,14,0.038566667,1,0.182333333,2,0.037933333,17,0.035333333,4,0.044033333,5,0.036266667,1,0.0476,20,0.0396,2,0.113433333,26,0.034633333,31,0.048533333
American Goldfinch,9,0.1777,1,0.205566667,1,0.102033333,2,0.2044,2,0.954166667,4,0.092033333,24,0.0836,2,0.0752,2,0.9317,31,0.087966667,3,0.351866667,4,0.242766667,7,0.320166667,6,0.1522,31,0.0964,1,0.203066667,10,0.162633333,2,0.375033333,31,0.1956,3,0.1064
American Kestrel,2,0.2131,31,0.0533,1,0.0758,1,0.407233333,1,0.1523,3,0.162566667,2,0.2643,2,0.4506,2,0.890966667,1,0.353033333,2,0.0401,2,0.0789,31,0.209066667,4,0.049166667,6,0.047733333,31,0.047766667,31,0.090833333,31,0.040733333,17,0.035666667,2,0.047966667
American Redstart,2,0.9178,27,0.1271,13,0.074533333,2,0.999966667,1,0.073533333,18,0.109766667,7,0.090866667,27,0.076966667,2,0.4113,2,0.870633333,4,0.265233333,31,0.1281,23,0.0622,31,0.1496,2,0.934266667,1,0.1116,31,0.0795,1,0.122933333,1,0.151466667,31,0.153766667
American Robin,2,0.999866667,1,1,2,0.578233333,6,0.316,30,0.1614,31,0.1525,3,0.211633333,2,0.998166667,1,0.9796,2,0.4096,2,0.167933333,6,0.2526,12,0.078333333,31,0.1157,31,0.398933333,8,0.067866667,31,0.2481,6,0.1854,1,0.267566667,31,0.374233333
American White Pelican,2,0.073833333,1,0.231866667,2,0.095633333,3,0.248766667,18,0.063833333,3,0.127766667,4,0.107933333,31,0.046733333,1,0.063466667,24,0.068933333,13,0.080866667,2,0.7771,2,0.0509,2,0.997633333,2,0.367066667,28,0.040466667,1,0.3721,1,0.739033333,1,0.0363,31,0.066866667
American Wigeon,2,0.055866667,2,0.0363,8,0.0379,5,0.0384,29,0.036333333,3,0.0381,3,0.0546,2,0.3211,1,0.050533333,2,0.0597,1,0.082,2,0.0871,31,0.037766667,2,0.046166667,26,0.036733333,31,0.043866667,31,0.039666667,4,0.0415,31,0.0354,1,0.039066667
Anhinga,1,0.0697,31,0.0399,19,0.0571,21,0.0374,1,0.134833333,28,0.036966667,3,0.134133333,15,0.045033333,25,0.0446,18,0.0432,2,0.113,1,0.999166667,20,0.054733333,2,0.484133333,1,0.1069,1,0.064733333,1,0.154366667,14,0.037866667,29,0.034433333,21,0.037333333
Anna's Hummingbird,2,0.911666667,31,0.4257,2,0.093866667,31,0.0942,8,0.196666667,20,0.099166667,19,0.103733333,8,0.0558,30,0.080533333,1,0.1244,31,0.1887,4,0.1981,4,0.119866667,28,0.0902,4,0.1678,31,0.044466667,4,0.137166667,2,0.236433333,2,0.048266667,19,0.071133333
Ash-throated Flycatcher,2,0.3487,2,0.265233333,13,0.090566667,31,0.1035,12,0.056766667,28,0.1022,1,0.835933333,15,0.061366667,22,0.048466667,18,0.050066667,1,0.0825,21,0.0525,4,0.067933333,31,0.1623,30,0.064533333,30,0.044866667,13,0.082566667,5,0.2103,1,0.0484,13,0.087633333
Bachman's Sparrow,2,0.0906,4,0.049266667,31,0.060433333,2,0.037233333,5,0.077866667,3,0.089866667,19,0.0833,4,0.0882,12,0.047833333,15,0.071133333,1,0.092633333,12,0.053366667,20,0.037733333,8,0.0713,18,0.0458,18,0.0356,16,0.039933333,1,0.063166667,13,0.033866667,15,0.037
Baltimore Oriole,2,0.079633333,1,0.922433333,31,0.068633333,2,0.991966667,26,0.0661,30,0.152033333,22,0.071966667,31,0.106266667,2,0.849,6,0.080066667,31,0.2,31,0.233733333,29,0.1209,24,0.059366667,2,0.75,14,0.040766667,5,0.066166667,31,0.0489,1,0.071533333,1,0.122233333
Band-tailed Pigeon,30,0.0805,2,0.538833333,28,0.0753,28,0.0415,18,0.0631,2,0.550633333,1,0.0724,15,0.0881,3,0.067733333,27,0.073033333,2,0.070033333,21,0.074033333,14,0.074633333,1,0.131666667,28,0.0897,25,0.052633333,2,0.099933333,13,0.1439,17,0.039833333,2,0.075133333
Bank Swallow,1,0.199533333,1,0.066933333,2,0.9604,1,0.155333333,6,0.060833333,1,0.092566667,6,0.061533333,31,0.058933333,2,0.052933333,4,0.244366667,2,0.040366667,2,0.170033333,18,0.0494,1,0.415533333,6,0.162533333,3,0.0395,26,0.046266667,1,0.294666667,8,0.0386,1,0.058766667
Barn Swallow,2,0.999833333,31,0.2044,2,0.0795,1,1,1,1,1,1,15,0.0826,2,0.107,2,1,2,1,1,0.998666667,2,0.9954,7,0.129133333,1,0.901766667,1,0.7122,31,0.042166667,11,0.100066667,1,0.9425,31,0.1272,31,0.065533333
Bell's Vireo,2,0.072333333,2,0.0695,31,0.0675,4,0.057166667,6,0.057166667,25,0.042633333,25,0.091333333,31,0.053166667,31,0.115033333,5,0.054566667,1,0.146333333,2,0.316566667,22,0.053366667,20,0.0674,28,0.061766667,8,0.060266667,31,0.070833333,15,0.050566667,18,0.037533333,13,0.0446
Belted Kingfisher,1,0.093533333,1,0.043233333,1,0.0727,23,0.055566667,13,0.060266667,7,0.056566667,1,0.047133333,2,0.0721,2,0.05,4,0.076433333,2,0.839633333,1,0.952233333,2,0.103366667,2,0.973866667,1,0.8371,31,0.059,1,0.684966667,1,0.093366667,1,0.0506,30,0.060633333
Bewick's Wren,31,0.1591,2,0.440233333,31,0.118333333,31,0.119566667,26,0.0752,30,0.0737,5,0.0574,31,0.056266667,31,0.163866667,24,0.0734,1,0.938833333,13,0.082633333,3,0.101766667,1,0.120766667,22,0.076266667,23,0.073233333,14,0.113633333,12,0.128033333,4,0.038733333,5,0.148566667
Black-and-white Warbler,4,0.4047,24,0.1014,13,0.0561,2,0.9308,2,0.071766667,2,0.975,1,0.103233333,12,0.044833333,6,0.189133333,31,0.167066667,2,0.256,22,0.0803,30,0.061833333,9,0.059533333,2,0.0601,18,0.0466,20,0.055766667,25,0.086333333,21,0.037066667,1,0.1697
Black-bellied Whistling-Duck,26,0.045566667,26,0.095933333,30,0.0669,31,0.093066667,17,0.092466667,21,0.079433333,31,0.0462,21,0.064733333,20,0.096933333,5,0.065066667,15,0.079966667,11,0.1593,18,0.057466667,3,0.1146,1,0.8653,1,0.0395,31,0.094,21,0.076766667,31,0.0363,18,0.042066667
Black-billed Cuckoo,2,0.204733333,14,0.057766667,14,0.051733333,11,0.062466667,31,0.0661,17,0.075366667,3,0.044066667,6,0.042466667,2,0.0835,5,0.054233333,31,0.063966667,1,0.226066667,2,0.0416,3,0.1432,6,0.070233333,13,0.040466667,3,0.094266667,4,0.052866667,21,0.036366667,1,0.066333333
Black-billed Magpie,12,0.108933333,2,0.318566667,31,0.148533333,1,0.0661,2,0.7491,2,0.0577,4,0.1178,29,0.070633333,31,0.0888,12,0.097533333,1,0.2162,2,0.288966667,14,0.176033333,23,0.068133333,5,0.207566667,25,0.0802,18,0.0557,28,0.121266667,1,0.0584,1,0.4109
Black-capped Chickadee,2,0.9971,1,0.9258,1,0.9898,1,0.673466667,3,0.366333333,2,0.844866667,6,0.094733333,2,0.218366667,5,0.080433333,2,0.633966667,3,0.170966667,31,0.228133333,31,0.131,19,0.076933333,1,0.156533333,1,0.400133333,31,0.1791,1,0.2503,1,0.089033333,1,0.097266667
Black-chinned Hummingbird,2,0.242833333,1,0.4689,29,0.0437,2,0.1388,2,0.863366667,30,0.1256,31,0.133266667,31,0.0995,10,0.133866667,31,0.0639,2,0.1365,28,0.061266667,3,0.213233333,1,0.6773,30,0.1232,1,0.442666667,4,0.0537,2,0.2985,30,0.0595,1,0.2463
Black-crested Titmouse,28,0.041633333,1,0.179433333,10,0.078533333,7,0.084566667,2,0.077533333,2,0.1642,10,0.0661,31,0.084733333,2,0.044366667,1,0.1499,31,0.068033333,15,0.0522,22,0.049666667,2,0.239666667,1,0.060133333,15,0.035333333,20,0.1308,1,0.432,31,0.060633333,1,0.064133333
Black-crowned Night Heron,7,0.0923,7,0.039833333,20,0.0442,5,0.055766667,7,0.060433333,31,0.0408,6,0.071933333,1,0.059933333,30,0.043133333,29,0.0374,12,0.1083,2,0.893866667,2,0.1262,2,0.176333333,27,0.040933333,12,0.038066667,3,0.131566667,2,0.180666667,1,0.035266667,3,0.038033333
Black-headed Grosbeak,3,0.427166667,1,0.883433333,3,0.1219,2,0.1032,3,0.4763,5,0.229966667,3,0.118266667,28,0.074066667,17,0.118933333,31,0.055566667,2,0.507833333,2,0.099833333,1,0.0663,14,0.099766667,20,0.114566667,27,0.071966667,1,0.470566667,2,0.441366667,11,0.036966667,5,0.1208
Black-necked Stilt,2,0.6219,1,0.079033333,31,0.059366667,2,0.063766667,2,0.069266667,3,0.0609,2,0.040766667,13,0.0491,5,0.046233333,2,0.467933333,1,0.128166667,2,0.958733333,28,0.070333333,3,0.549666667,15,0.110933333,31,0.039266667,2,0.060466667,4,0.147566667,11,0.036733333,30,0.040433333
Black-tailed Gnatcatcher,24,0.064866667,4,0.064666667,2,0.088133333,23,0.039766667,10,0.042533333,30,0.040966667,2,0.303766667,14,0.044566667,1,0.138166667,1,0.129566667,22,0.071733333,3,0.135666667,15,0.036433333,2,0.114366667,1,0.073133333,4,0.04,31,0.115566667,5,0.074066667,29,0.0361,31,0.086433333
Black-throated Blue Warbler,2,0.480466667,30,0.046766667,18,0.081633333,2,0.4522,31,0.102833333,2,0.700733333,1,0.289666667,24,0.056066667,1,0.1714,4,0.0529,5,0.0435,2,0.0533,20,0.041266667,5,0.1555,20,0.047866667,19,0.038433333,2,0.158433333,5,0.0578,19,0.043733333,1,0.276833333
Black-throated Gray Warbler,3,0.1395,6,0.088666667,12,0.0463,2,0.081866667,2,0.234366667,1,0.1403,31,0.058233333,11,0.086566667,1,0.055466667,11,0.040533333,31,0.136333333,29,0.0465,20,0.0632,22,0.0428,17,0.045,14,0.0418,4,0.064266667,6,0.1773,26,0.037733333,1,0.103266667
Black-throated Green Warbler,3,0.483433333,31,0.1113,11,0.080833333,1,0.549366667,2,0.376166667,2,0.8974,2,0.084533333,23,0.064966667,2,0.551366667,2,0.164866667,14,0.0719,1,0.0979,31,0.1458,24,0.0654,25,0.060133333,31,0.093,24,0.0442,2,0.065933333,29,0.0419,1,0.1817
Black-throated Sparrow,2,0.077033333,1,0.0957,3,0.084333333,18,0.041933333,3,0.070866667,4,0.042066667,2,0.436933333,18,0.051433333,11,0.0397,20,0.0471,22,0.068966667,1,0.2154,4,0.048333333,30,0.043233333,30,0.048733333,12,0.056066667,1,0.0899,8,0.092066667,1,0.048166667,8,0.065466667
Black Phoebe,23,0.046333333,1,0.132,17,0.0619,31,0.1187,1,0.303733333,31,0.055333333,1,0.8381,18,0.116066667,2,0.0489,12,0.0502,2,0.092366667,13,0.1371,31,0.077,5,0.0838,14,0.067633333,1,0.136533333,31,0.163933333,1,0.124666667,1,0.0469,16,0.0549
Black Skimmer,2,0.057933333,14,0.0573,3,0.113366667,11,0.0442,18,0.0397,12,0.048533333,3,0.0379,1,0.066466667,31,0.047866667,2,0.044466667,13,0.064133333,2,0.210466667,2,0.191133333,22,0.071633333,2,0.055233333,1,0.054,2,0.124066667,13,0.0454,24,0.035466667,30,0.039666667
Black Tern,6,0.0797,5,0.041733333,2,0.110266667,1,0.1196,30,0.0404,9,0.0399,2,0.0415,3,0.132533333,14,0.089066667,7,0.0941,28,0.044233333,2,0.9968,17,0.082166667,4,0.074066667,14,0.065,18,0.0368,2,0.044733333,1,0.045966667,3,0.035466667,3,0.036766667
Black Vulture,31,0.0743,1,0.0593,24,0.089933333,2,0.075433333,1,0.196266667,4,0.0577,31,0.2452,3,0.074233333,4,0.116166667,26,0.0547,2,0.218166667,8,0.090333333,26,0.0409,1,0.953566667,25,0.089833333,1,0.064033333,19,0.068733333,19,0.0385,30,0.044133333,31,0.081266667
Blackburnian Warbler,4,0.1882,12,0.061333333,1,0.1455,2,0.114066667,1,0.998966667,1,0.1826,2,0.095266667,1,0.065933333,2,0.324366667,2,0.088933333,6,0.066766667,1,0.0842,14,0.063,25,0.048366667,12,0.0469,1,0.0486,1,0.103766667,3,0.037833333,1,0.037833333,1,0.207666667
Blue-gray Gnatcatcher,2,0.989333333,3,0.340433333,31,0.092966667,1,0.9636,8,0.2896,31,0.070233333,15,0.045866667,23,0.0579,3,0.163133333,2,0.583633333,2,0.6972,3,0.054666667,31,0.086133333,29,0.064266667,31,0.057366667,29,0.0902,6,0.1683,2,0.410966667,3,0.038,31,0.3222
Blue-headed Vireo,2,0.216966667,31,0.0469,13,0.054533333,3,0.089733333,2,0.688633333,2,0.344766667,11,0.104966667,14,0.0606,2,0.938366667,31,0.0793,4,0.108133333,31,0.0637,2,0.069233333,5,0.0963,31,0.0586,3,0.049366667,3,0.1071,28,0.069633333,31,0.041,1,0.340833333
Blue-winged Teal,2,0.564466667,2,0.090633333,6,0.059866667,5,0.105766667,2,0.062,3,0.085533333,31,0.045766667,2,0.054166667,31,0.065866667,2,0.188666667,10,0.051233333,1,0.9851,31,0.036066667,1,0.3438,2,0.061833333,11,0.039966667,23,0.043033333,9,0.046366667,4,0.035466667,4,0.0395
Blue-winged Warbler,2,0.3907,5,0.057366667,2,0.049966667,2,0.9725,4,0.040766667,2,0.0746,3,0.127833333,31,0.0596,9,0.046433333,4,0.1352,2,0.1673,15,0.1005,2,0.059266667,2,0.0382,31,0.1716,14,0.036933333,23,0.053166667,2,0.102266667,25,0.0363,31,0.055933333
Blue Grosbeak,2,0.9753,26,0.089966667,18,0.046133333,1,0.1211,12,0.118433333,13,0.054833333,3,0.094966667,1,0.937466667,1,0.999633333,1,0.7839,2,0.6385,16,0.078666667,1,0.069666667,31,0.049633333,3,0.054933333,2,0.039733333,28,0.0793,2,0.368566667,30,0.0379,1,0.074833333
Blue Jay,2,0.999933333,1,1,1,0.475333333,2,0.832166667,2,0.963733333,1,0.999933333,7,0.1514,2,0.244333333,10,0.098066667,20,0.078866667,31,0.184633333,1,0.580733333,2,0.401133333,28,0.0887,31,0.0892,1,0.477833333,25,0.088233333,3,0.4565,31,0.041633333,25,0.044066667
Boat-tailed Grackle,1,0.177266667,1,0.6448,6,0.0756,5,0.062733333,1,0.371766667,3,0.084,2,0.053433333,12,0.094,1,0.1501,3,0.065066667,2,0.2254,2,0.678166667,18,0.134,18,0.091033333,30,0.0717,31,0.0633,2,0.669833333,7,0.043966667,26,0.041933333,31,0.060633333
Brewer's Blackbird,2,0.510466667,31,0.1182,9,0.140133333,2,0.140133333,1,0.9628,26,0.0426,2,0.307866667,25,0.1197,2,0.197333333,7,0.1261,18,0.052033333,5,0.176966667,25,0.091033333,11,0.0558,6,0.0533,21,0.053866667,16,0.0545,2,0.4577,1,0.0525,21,0.051733333
Brewer's Sparrow,2,0.337566667,23,0.055133333,13,0.0983,25,0.071133333,15,0.0921,2,0.084833333,3,0.541733333,2,0.211,3,0.085,1,0.063033333,4,0.101066667,2,0.053833333,1,0.0528,30,0.045333333,30,0.052266667,1,0.083466667,1,0.075866667,2,0.342266667,4,0.0405,1,0.121933333
Broad-billed Hummingbird,1,0.167766667,1,0.044633333,3,0.116666667,18,0.0386,13,0.1755,8,0.1905,17,0.146366667,16,0.047433333,10,0.1242,31,0.043666667,23,0.093433333,5,0.055066667,22,0.0342,24,0.0425,11,0.033833333,21,0.050666667,1,0.219166667,29,0.062066667,31,0.042133333,1,0.0413
Broad-tailed Hummingbird,31,0.383833333,31,0.0736,1,0.132266667,31,0.068233333,2,0.695966667,25,0.061533333,11,0.192233333,31,0.1435,20,0.150266667,5,0.115733333,19,0.1371,9,0.091433333,17,0.073033333,31,0.268766667,2,0.107133333,1,0.350933333,20,0.0574,2,0.491533333,10,0.043966667,1,0.2342
Broad-winged Hawk,15,0.047233333,2,0.071633333,21,0.042833333,2,0.619066667,6,0.040466667,2,0.098266667,1,0.039766667,2,0.0717,23,0.041066667,3,0.080333333,4,0.072633333,13,0.047566667,2,0.041233333,14,0.045533333,31,0.0561,3,0.0406,28,0.04,4,0.059666667,19,0.035466667,19,0.037166667
Bronzed Cowbird,30,0.083966667,31,0.052433333,1,0.1557,4,0.050166667,19,0.0689,1,0.086366667,31,0.057966667,17,0.064133333,3,0.060566667,6,0.079766667,31,0.059566667,28,0.078433333,31,0.044633333,31,0.074766667,1,0.274733333,30,0.037933333,18,0.054633333,27,0.0432,1,0.034766667,30,0.0705
Brown-crested Flycatcher,27,0.088266667,29,0.070633333,17,0.049166667,29,0.064366667,1,0.082366667,17,0.0712,3,0.059,1,0.194433333,2,0.427333333,24,0.052233333,2,0.435,21,0.053133333,12,0.056633333,21,0.0625,7,0.121533333,1,0.0527,26,0.133166667,15,0.056166667,20,0.0404,1,0.043333333
Brown-headed Cowbird,2,0.3975,1,0.9999,1,0.617866667,2,0.1735,7,0.137833333,31,0.383433333,4,0.1921,12,0.065233333,4,0.4208,31,0.237333333,31,0.093566667,31,0.122766667,2,0.0727,1,0.363,30,0.133833333,1,0.3465,5,0.090966667,2,0.440966667,21,0.053766667,1,0.060333333
